year,award,movie,nominee,winner,actor_in_a_leading_role_nomination,actor_in_a_supporting_role_nomination,actress_in_a_leading_role_nomination,actress_in_a_supporting_role_nomination,directing_nomination,cinematography_nomination,year_film,year_film2,year_film3,tconst,primarytitle,startyear,runtimeminutes,averagerating,numvotes,directors,writers,director,nconst_x,birthyear,dir_age,nconst_y,is_woman,name,release_day,rating,metascore,budget,opening_wk,opening_usa_day,gross,world,release_month,release_day_of_month,winner_bool,biography,drama,comedy,adventure,film-noir,mystery,action,crime,horror,family,animation,western,documentary,romance,fantasy,thriller,war,history,music,sport,musical,sci-fi,cpi_multiplier,n_globes
1943,BEST PICTURE,20Th Century-Fox,The Pied Piper,,1,0,0,0,0,0,1942,1941,1940,tt0035189,The Pied Piper,1942.0,87.0,7.1,421.0,nm0681635,"nm0425913,nm0796009",nm0681635,nm0681635,1891.0,52.0,nm0681635,0,The Pied Piper,1942-08-21,1h 27min,,,,,,,8,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.894201183431955,
1943,BEST PICTURE,Columbia,The Talk Of The Town,,0,0,0,0,0,0,1942,1941,1940,tt0035417,The Talk Of The Town,1942.0,118.0,7.5,6709.0,nm0828419,"nm0789758,nm0118227,nm0886861,nm0363563",nm0828419,nm0828419,1904.0,39.0,nm0828419,0,The Talk of the Town,1942-08-20,Approved,,14894201.183431955,,,,,8,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.894201183431955,
1944,BEST PICTURE,Columbia,The More The Merrier,,0,1,1,0,1,0,1943,1942,1941,tt0036172,The More The Merrier,1943.0,104.0,7.7,5494.0,nm0828419,"nm0751417,nm0743407,nm0283133,nm0287931,nm0437717",nm0828419,nm0828419,1904.0,40.0,nm0828419,0,The More the Merrier,1943-05-13,Passed,,,,,,,5,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.466206896551727,
1952,BEST PICTURE,"George Stevens, Producer",A Place In The Sun,,1,0,1,0,1,0,1951,1950,1949,tt0043924,A Place In The Sun,1951.0,122.0,7.8,18561.0,nm0828419,"nm0237439,nm0443966,nm0933858,nm0113689",nm0828419,nm0828419,1904.0,48.0,nm0828419,0,A Place in the Sun,1951-10-11,Passed,76.0,21802096.620679248,,,,,10,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.49856603773585,3.0
1954,BEST PICTURE,"George Stevens, Producer",Shane,,0,1,0,0,1,0,1953,1952,1951,tt0046303,Shane,1953.0,118.0,7.6,34315.0,nm0828419,"nm0349238,nm0792042,nm0769627",nm0828419,nm0828419,1904.0,50.0,nm0828419,0,Shane,1953-10-01,Not Rated,80.0,29007702.60223049,,,,,10,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.357323420074351,
1957,BEST PICTURE,"George Stevens And Henry Ginsberg, Producers",Giant,,1,0,0,1,1,0,1956,1955,1954,tt0049261,Giant,1956.0,201.0,7.6,31838.0,nm0828419,"nm0272209,nm0347451,nm0595573",nm0828419,nm0828419,1904.0,53.0,nm0828419,0,Giant,1956-11-24,G,84.0,49248000.00000001,,,1622530.08,1622530.08,11,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.120000000000001,3.0
1960,BEST PICTURE,"George Stevens, Producer",The Diary Of Anne Frank,,0,1,0,1,1,0,1959,1958,1957,tt0052738,The Diary Of Anne Frank,1959.0,180.0,7.4,11230.0,nm0828419,"nm0329304,nm0352443,nm0290833,nm0828419",nm0828419,nm0828419,1904.0,56.0,nm0828419,0,The Diary of Anne Frank,1959-01-01,Approved,,25772559.726962462,,,,,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.59085324232082,
1943,BEST PICTURE,Paramount,Wake Island,,0,1,0,0,1,0,1942,1941,1940,tt0035530,Wake Island,1942.0,88.0,6.8,1670.0,nm0268513,"nm0122446,nm0124918,nm0371907,nm0629237",nm0268513,nm0268513,1904.0,39.0,nm0268513,0,Wake Island,1942-08-11,Approved,,12303518.723786984,,,,,8,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.894201183431955,
1943,BEST PICTURE,Warner Brothers,Yankee Doodle Dandy,,1,1,0,0,1,0,1942,1941,1940,tt0035575,Yankee Doodle Dandy,1942.0,126.0,7.7,13143.0,nm0002031,"nm0118758,nm0430578,nm0258493,nm0258525",nm0002031,nm0002031,1886.0,57.0,nm0002031,0,Yankee Doodle Dandy,1942-06-06,Passed,,,,,175751573.96449706,,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.894201183431955,
1946,BEST PICTURE,Warner Brothers,Mildred Pierce,,0,0,1,1,0,0,1945,1944,1943,tt0037913,Mildred Pierce,1945.0,111.0,8.0,20839.0,nm0002031,"nm0532030,nm0128906,nm0001203,nm0344391,nm0540816,nm0682787,nm0877957,nm0928603,nm0932163",nm0002031,nm0002031,1886.0,60.0,nm0002031,0,Mildred Pierce,1945-10-20,Passed,,20095469.010989014,,,,140073.57890109892,10,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.830329670329672,3.0
